time,X,Y,Z,
0.7925, 0.0553694, -0.000388522, -0.761569,
0.795, 0.0553175, -0.000367118, -0.761573,
0.7975, 0.055271, -0.000348837, -0.761577,
0.8, 0.0552337, -0.000336501, -0.76158,
0.8025, 0.0552078, -0.000329625, -0.761583,
0.805, 0.0551935, -0.000324987, -0.761584,
0.8075, 0.0551874, -0.000318106, -0.761585,
0.81, 0.0551832, -0.000306328, -0.761587,
0.8125, 0.0551724, -0.000288, -0.76159,
0.815, 0.0551525, -0.000263855, -0.761595,
0.8175, 0.0551269, -0.000236114, -0.7616,
0.82, 0.0551013, -0.000210861, -0.761602,
0.8225, 0.0550812, -0.000194242, -0.761603,
0.825, 0.0550683, -0.000180927, -0.761602,
0.8275, 0.0550615, -0.000168998, -0.761601,
0.83, 0.0550576, -0.000157887, -0.7616,
0.8325, 0.0550532, -0.000147048, -0.7616,
0.835, 0.0550473, -0.000135961, -0.761601,
0.8375, 0.0550397, -0.000124209, -0.761601,
0.84, 0.0550315, -0.000112656, -0.761602,
0.8425, 0.0550247, -0.000102376, -0.761602,
0.845, 0.055021, -9.4401e-05, -0.761602,
0.8475, 0.0550208, -8.92466e-05, -0.761601,
0.85, 0.0550232, -8.72264e-05, -0.761601,
0.8525, 0.0550268, -8.82916e-05, -0.761601,
0.855, 0.0550306, -9.16758e-05, -0.761601,
0.8575, 0.0550336, -9.67837e-05, -0.761601,
0.86, 0.0550354, -0.000102962, -0.761602,
0.8625, 0.0550354, -0.000109638, -0.761602,
0.865, 0.055034, -0.000116392, -0.761603,
0.8675, 0.0550317, -0.000122924, -0.761603,
0.87, 0.055029, -0.000128966, -0.761603,
0.8725, 0.0550266, -0.000134327, -0.761603,
0.875, 0.0550248, -0.000139081, -0.761603,
0.8775, 0.0550239, -0.000143443, -0.761603,
0.88, 0.0550239, -0.000147578, -0.761603,
0.8825, 0.0550244, -0.000151536, -0.761603,
0.885, 0.0550252, -0.000155265, -0.761603,
0.8875, 0.055026, -0.000158659, -0.761603,
0.89, 0.0550266, -0.000161694, -0.761603,
0.8925, 0.055027, -0.000164427, -0.761603,
0.895, 0.0550271, -0.000166923, -0.761603,
0.8975, 0.0550271, -0.000169222, -0.761603,
0.9, 0.0550269, -0.00017135, -0.761603,
0.9025, 0.0550266, -0.000173305, -0.761603,
0.905, 0.0550262, -0.000175079, -0.761603,
0.9075, 0.0550258, -0.000176678, -0.761603,
0.91, 0.0550254, -0.000178116, -0.761603,
0.9125, 0.055025, -0.00017941, -0.761603,
0.915, 0.0550246, -0.000180576, -0.761603,
0.9175, 0.0550243, -0.000181629, -0.761603,
0.92, 0.055024, -0.000182585, -0.761604,
0.9225, 0.0550237, -0.000183456, -0.761604,
0.925, 0.0550234, -0.000184254, -0.761604,
0.9275, 0.0550232, -0.00018499, -0.761604,
0.93, 0.055023, -0.000185672, -0.761604,
0.9325, 0.0550228, -0.000186311, -0.761604,
0.935, 0.0550226, -0.000186911, -0.761604,
0.9375, 0.0550224, -0.00018748, -0.761604,
0.94, 0.0550222, -0.000188023, -0.761604,
0.9425, 0.0550221, -0.000188543, -0.761604,
0.945, 0.0550219, -0.000189044, -0.761604,
0.9475, 0.0550217, -0.00018953, -0.761604,
0.95, 0.0550215, -0.000190003, -0.761604,
0.9525, 0.0550214, -0.000190465, -0.761604,
0.955, 0.0550212, -0.000190917, -0.761604,
0.9575, 0.055021, -0.00019136, -0.761604,
0.96, 0.0550208, -0.000191797, -0.761604,
0.9625, 0.0550206, -0.000192227, -0.761604,
0.965, 0.0550204, -0.000192652, -0.761604,
