t,tau1,tau2,ddq1,ddq2,q1,q2,X,Y,
0.23,21.492,9.31262,17.1873,58.3355,0.0737111,-2.3263,0.702802,0.367094,
0.23125,22.4269,8.92268,18.4081,56.9454,0.0658735,-2.32685,0.705306,0.361148,
0.2325,23.3448,8.54267,19.5949,55.5689,0.0580646,-2.32732,0.707806,0.355274,
0.23375,24.2457,8.17264,20.748,54.2063,0.0502864,-2.32769,0.710303,0.349471,
0.235,25.1298,7.81254,21.8678,52.8579,0.0425405,-2.32799,0.712797,0.343738,
0.23625,25.997,7.46239,22.9545,51.5239,0.0348289,-2.3282,0.715288,0.338074,
0.2375,26.8474,7.12211,24.0086,50.2046,0.0271531,-2.32833,0.717776,0.332477,
0.23875,27.6811,6.7917,25.0304,48.9002,0.0195148,-2.32838,0.72026,0.326947,
0.24,28.498,6.47107,26.0203,47.6109,0.0119156,-2.32835,0.722741,0.321483,
0.24125,29.2984,6.16016,26.9788,46.3368,0.00435708,-2.32825,0.725219,0.316084,
0.2425,30.0822,5.85889,27.9063,45.0782,-0.00315934,-2.32808,0.727693,0.310749,
0.24375,30.8495,5.56717,28.8033,43.8352,-0.0106321,-2.32784,0.730163,0.305477,
0.245,31.6006,5.2849,29.6701,42.608,-0.0180599,-2.32753,0.73263,0.300268,
0.24625,32.3354,5.01199,30.5073,41.3966,-0.0254413,-2.32715,0.735092,0.29512,
0.2475,33.0541,4.7483,31.3154,40.2011,-0.0327751,-2.3267,0.737551,0.290033,
0.24875,33.7569,4.49374,32.0948,39.0217,-0.0400599,-2.3262,0.740005,0.285006,
0.25,34.4438,4.24815,32.846,37.8585,-0.0472946,-2.32563,0.742455,0.280038,
0.25125,35.1149,4.01144,33.5696,36.7114,-0.054478,-2.32501,0.7449,0.275129,
0.2525,35.7705,3.78343,34.2661,35.5806,-0.0616089,-2.32433,0.74734,0.270279,
0.25375,36.4107,3.56401,34.9359,34.4661,-0.0686863,-2.32359,0.749775,0.265486,
0.255,37.0355,3.353,35.5795,33.3679,-0.0757091,-2.32279,0.752204,0.260749,
0.25625,37.6452,3.15029,36.1976,32.2861,-0.0826763,-2.32195,0.754628,0.25607,
0.2575,38.2399,2.9557,36.7905,31.2207,-0.089587,-2.32106,0.757046,0.251446,
0.25875,38.8197,2.76909,37.3588,30.1716,-0.0964402,-2.32011,0.759458,0.246877,
0.26,39.3849,2.59027,37.903,29.1389,-0.103235,-2.31912,0.761864,0.242363,
0.26125,39.9355,2.41912,38.4237,28.1225,-0.109971,-2.31809,0.764263,0.237904,
0.2625,40.4717,2.25544,38.9213,27.1225,-0.116646,-2.317,0.766655,0.233499,
0.26375,40.9937,2.0991,39.3963,26.1388,-0.123261,-2.31588,0.76904,0.229148,
0.265,41.5017,1.9499,39.8493,25.1713,-0.129814,-2.31472,0.771418,0.224849,
